"Año";"Periodo";"Parámetro";"Denuncias, datos acumulados"
"2016";"Trimestre 3";"Agresión sexual con penetración";"947"
"2016";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"229"
"2016";"Trimestre 3";"Hurtos";"540.509"
"2016";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"121.373"
"2016";"Trimestre 3";"Robos con violencia e intimidación";"47.048"
"2016";"Trimestre 3";"Secuestro";"78"
"2016";"Trimestre 3";"Sustracciones de vehículos";"32.222"
"2016";"Trimestre 3";"Total";"1.518.867"
"2016";"Trimestre 3";"Tráfico de drogas";"9.610"
"2017";"Trimestre 3";"Agresión sexual con penetración";"1.061"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"236"
"2017";"Trimestre 3";"Hurtos";"536.284"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"110.274"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"45.833"
"2017";"Trimestre 3";"Secuestro";"49"
"2017";"Trimestre 3";"Sustracciones de vehículos";"32.473"
"2017";"Trimestre 3";"Total";"1.526.385"
"2017";"Trimestre 3";"Tráfico de drogas";"10.114"
"2018";"Trimestre 3";"Agresión sexual con penetración";"1.304"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"228"
"2018";"Trimestre 3";"Hurtos";"530.148"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"112.169"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"43.818"
"2018";"Trimestre 3";"Secuestro";"54"
"2018";"Trimestre 3";"Sustracciones de vehículos";"26.637"
"2018";"Trimestre 3";"Total";"1.582.832"
"2018";"Trimestre 3";"Tráfico de drogas";"10.835"
"2019";"Trimestre 3";"Agresión sexual con penetración";"1.405"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"249"
"2019";"Trimestre 3";"Hurtos";"529.192"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"105.064"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"48.272"
"2019";"Trimestre 3";"Secuestro";"71"
"2019";"Trimestre 3";"Sustracciones de vehículos";"26.166"
"2019";"Trimestre 3";"Total";"1.644.917"
"2019";"Trimestre 3";"Tráfico de drogas";"12.693"
"2020";"Trimestre 3";"Agresión sexual con penetración";"1.281"
"2020";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"232"
"2020";"Trimestre 3";"Hurtos";"309.913"
"2020";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"77.498"
"2020";"Trimestre 3";"Robos con violencia e intimidación";"35.213"
"2020";"Trimestre 3";"Secuestro";"61"
"2020";"Trimestre 3";"Sustracciones de vehículos";"19.395"
"2020";"Trimestre 3";"Total";"1.312.481"
"2020";"Trimestre 3";"Tráfico de drogas";"12.662"
;;
;;
"Métrica":"Denuncias, datos acumulados"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/cifras-crimen-espana/d46b83fd-58df-4c71-bdeb-d40691a66838"
"Titulo":"Las cifras del crimen en España"
"Subtitulo":""
