"","day","total_oc","total_no"
"1",1,1398,867
"2",2,1288,1449
"3",3,1355,1311
"4",4,1481,1351
"5",5,1487,1310
"6",6,1459,1321
"7",7,1439,1308
"8",8,1469,1397
"9",9,1376,1540
"10",10,1331,1302
"11",11,1435,1346
"12",12,1422,1035
"13",13,1427,965
"14",14,1570,1137
"15",15,1124,1128
"16",16,1400,1352
"17",17,1365,1233
"18",18,1495,1240
"19",19,1496,1080
"20",20,1427,1111
"21",21,1445,1092
"22",22,1411,1150
"23",23,1273,1284
"24",24,1417,1149
"25",25,1409,1357
"26",26,1396,1235
"27",27,1335,1246
"28",28,569,1179
