"Año";"Periodo";"Parámetro";"Infracciones penales registradas"
"2020";"Trimestre 3";"Andalucía";"216.830"
"2020";"Trimestre 3";"Aragón";"26.730"
"2020";"Trimestre 3";"Asturias";"18.122"
"2020";"Trimestre 3";"Canarias";"62.028"
"2020";"Trimestre 3";"Cantabria";"12.530"
"2020";"Trimestre 3";"Castilla y León";"47.474"
"2020";"Trimestre 3";"Castilla-La Mancha";"45.701"
"2020";"Trimestre 3";"Cataluña";"264.854"
"2020";"Trimestre 3";"Ceuta";"2.882"
"2020";"Trimestre 3";"Comunidad Valenciana";"143.350"
"2020";"Trimestre 3";"Extremadura";"18.565"
"2020";"Trimestre 3";"Galicia";"53.775"
"2020";"Trimestre 3";"Islas Baleares";"44.985"
"2020";"Trimestre 3";"La Rioja";"5.794"
"2020";"Trimestre 3";"Madrid";"226.553"
"2020";"Trimestre 3";"Melilla";"3.339"
"2020";"Trimestre 3";"Murcia";"38.000"
"2020";"Trimestre 3";"Navarra";"17.401"
"2020";"Trimestre 3";"País Vasco";"56.550"
;;
;;
"Métrica":"Infracciones penales registradas"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/robos-vehiculos-comunidad-comunidad/7cc14dc0-0ff3-42cc-8bf2-f2c0426d8d0b"
"Titulo":"Robos de vehículos, comunidad a comunidad"
"Subtitulo":""
